stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
21727,01DJ1,Ecole d'Artillerie,,50.381330,3.077767,0,10875,0
10680,01CM,Pont d'Ocre,,50.379318,3.076398,1,,0
21343,01CM1,Pont d'Ocre,,50.379596,3.075338,0,10680,0
10459,06AI,Pagnol,,50.374736,3.052376,1,,0
20914,06AI2,Pagnol,,50.374772,3.052418,0,10459,0
10458,06AH,Notre Dame,,50.376806,3.051297,1,,0
20912,06AH2,Notre Dame,,50.376685,3.051422,0,10458,0
10457,06AG,Cimetière - CUINCY,,50.379414,3.049368,1,,0
20910,06AG2,Cimetière - CUINCY,,50.379360,3.049472,0,10457,0
10456,06AF,Eglise - CUINCY,,50.382936,3.047172,1,,0
20908,06AF2,Eglise - CUINCY,,50.383467,3.047098,0,10456,0
10455,06AE,Anicot,,50.380990,3.040547,1,,0
20906,06AE2,Anicot,,50.381009,3.040504,0,10455,0
10454,06AD,Closerie,,50.379289,3.034614,1,,0
20904,06AD2,Closerie,,50.379375,3.034649,0,10454,0
20903,06AD1,Closerie,,50.379204,3.034579,0,10454,0
20905,06AE1,Anicot,,50.380971,3.040589,0,10455,0
20907,06AF1,Eglise - CUINCY,,50.382405,3.047245,0,10456,0
20909,06AG1,Cimetière - CUINCY,,50.379469,3.049264,0,10457,0
20911,06AH1,Notre Dame,,50.376927,3.051171,0,10458,0
20913,06AI1,Pagnol,,50.374700,3.052334,0,10459,0
21440,01AH3,Sous-Préfecture,,50.377354,3.076989,0,10356,0
21344,01CM2,Pont d'Ocre,,50.379423,3.076598,0,10680,0
21728,01DJ2,Ecole d'Artillerie,,50.381591,3.078006,0,10875,0
20822,01BA2,Polygone,,50.385298,3.078770,0,10413,0
20824,01BB2,Alsace Lorraine - DOUAI,,50.386463,3.078359,0,10414,0
20826,01BC2,Canivez,,50.387392,3.074112,0,10415,0
20820,01AZ2,Jaurès - DOUAI,,50.391125,3.082433,0,10412,0
20818,01AY2,Place du 14 Juillet,,50.392377,3.084904,0,10411,0
20816,01AX2,Passerelle,,50.393606,3.085959,0,10410,0
